,0,1,2,3,4,5,6,7,8,9,10
0,University of California - Santa Barbara (UCSB),Chemical Engineering,"$31,125",1.27,2014-2015,1st,,"$31,250",,,$125
1,Pennsylvania State University (Penn State),Chemistry,"$20,500",1.11,2014-2015,2nd,,"$20,500",,,
2,University of California - San Diego (UCSD),Mathematics,"$20,500",0.87,2013-2014,4th,,,"$18,000","$2,500",
3,University of North Carolina - Chapel Hill (UNC),Chemistry,"$26,700",1.42,2014-2015,2nd,Through BBSP,"$28,500",,,"$1,800"
4,University of California - Santa Barbara (UCSB),Materials,"$34,000",1.38,2013-2014,5th,"This is the gross pay for someone with a fellowship (the department supplements it up to $34000). <span class=""truncated""> Normally, the department would pay me $28000.</span>","$34,000",,,
5,University of California - Berkeley,mechanical engineering,"$27,000",1.13,2014-2015,1st,,"$27,000",,,
6,Baylor College of Medicine,Neuroscience,"$28,980",1.51,2014-2015,4th,,"$29,000",,,$20
7,Duke University (DU),Biology,"$29,800",1.58,2014-2015,4th,,,"$24,300","$5,500",
8,The Catholic University of America,Politics,"$12,850",0.45,2011-2012,4th,,"$13,000",,,$150
9,The Catholic University of America,Politics,"$12,850",0.45,2010-2011,3rd,,"$13,000",,,$150
10,The Catholic University of America,Politics,"$11,850",0.42,2009-2010,2nd,,"$12,000",,,$150
11,The Catholic University of America,Politics,"$11,850",0.42,2008-2009,1st,,"$12,000",,,$150
12,Duke University (DU),Immunology,"$34,500",1.83,2014-2015,1st,"Gross pay includes a departmental base stipend of ~$29.5k/yr that is adjusted yearly, plus a $5k/yr <span class=""truncated""> competitive fellowship (that lasts for 4 years). Excluded is a $5k one-time lump-sum competitive fellowship paid in the first year. The 34.5k/yr gross pay is the nearly exclusive source of support for a family of 3.  A family of 3 can live comfortably (though fairly frugally) on this support, and can manage to save money for future expenses as well.</span>","$34,500",,,
13,Duke University (DU),Medical Physics,"$2,050",0.11,2014-2015,3rd,,"$2,500",,,$450
14,Duke University (DU),School of Environment,"$29,419",1.56,2014-2015,2nd,,"$29,419",,,
15,Duke University (DU),Sociology,"$27,080",1.44,2014-2015,1st,,,"$21,580","$5,500",
16,Stanford University (SU),Psychology,"$33,200",1.33,2014-2015,5th,These are rough estimates,"$34,000",,,$800
17,University of Virginia (UVA),,"$21,459",1.10,2014-2015,6th and up,,"$21,459",,,
18,Duke University (DU),Molecular Genetics and Microbiology (MGM),"$29,420",1.56,2014-2015,1st,,"$29,420",,,
19,Emory University,Neuroscience,"$29,850",1.42,2012-2013,6th and up,,"$30,000",,,$150
20,University of Pennsylvania,electrical &amp; systems,"$28,000",1.33,2013-2014,6th and up,,"$28,000",,,
21,University of Illinois - Urbana- Champaign (UIUC),Chemistry,"$27,300",1.58,2014-2015,1st,Base pay for out students is actually $25000,"$28,000",,,$700
22,University of Oxford,Computer Science,"$21,605",,2014-2015,3rd,,"$21,605",,,
23,Princeton University,Religion,"$18,960",0.87,2012-2013,5th,"My stipend would have been 25,000 but was reduced because I received a $16,000 external fellowship, <span class=""truncated""> bringing my total for 2012-2013 up to a total of $35,000.
My apologies—I may have submitted other years incorrectly on this form... But they&#39;re roughly accurate.</span>","$19,000",,,$40
24,Princeton University,Religion,"$24,960",1.14,2010-2011,5th,,"$25,000",,,$40
25,Princeton University,Religion,"$24,960",1.14,2011-2012,5th,,"$25,000",,,$40
26,University of Southern California (USC),school of education,"$35,000",1.48,2011-2012,4th,,"$35,000",,,
27,Scripps Research Institute (SRI),Biology,"$25,000",1.06,2002-2003,4th,,"$25,000",,,
28,Emory University,"Biochemistry, Cell and Developmental Biology","$24,000",1.14,2009-2010,5th,"We had free medical insurance, which was pretty fantastic and covered everything that I needed. ","$24,000",,,
29,University of Pennsylvania,Biomedical Graduate Studies - Neuroscience,"$28,500",1.36,2009-2010,4th,,"$28,500",,,
30,Emory University,Neuroscience,"$24,000",1.14,2010-2011,6th and up,,"$24,500",,,$500
31,Emory University,Psychology,"$20,000",0.95,2011-2012,4th,,"$21,000",,,"$1,000"
32,University of California - Berkeley,chemistry,"$23,000",0.96,2009-2010,5th,,"$23,000",,,
33,Emory University,GDBBS,"$25,000",1.19,2010-2011,5th,,"$25,000",,,
34,University of North Carolina - Chapel Hill (UNC),Epidemiology,"$19,000",1.01,2014-2015,4th,,"$21,000",,,"$2,000"
35,University of Wisconsin - Madison (UW),Geography,"$13,000",0.66,2014-2015,4th,,,"$13,500",,$500
36,University of South Florida,Curriculum and Instruction,"$41,800",,2008-2009,5th,Hired as a visiting faculty member.,"$42,000",,,$200
37,University of South Florida,Curriculum and Instruction,"$41,800",,2007-2008,4th,Hired as a visiting faculty member.,"$42,000",,,$200
38,Yale University (YU),History,"$28,600",1.30,2014-2015,5th,,"$28,600",,,
39,University of South Florida,Curriculum and Instruction,"$41,800",,2006-2007,4th,Hired as a visiting faculty member.,"$42,000",,,$200
40,University of South Florida,Curriculum and Instruction,"$9,800",,2005-2006,,,"$10,000",,,$200
41,University of South Florida ,Curriculum and Instruction,"$9,800",,2005-2006,2nd,,"$10,000",,,$200
42,University of South Florida ,Curriculum and Instruction,"$12,300",,2004-2005,1st,,,"$10,000","$2,500",$200
43,University of Virginia (UVA),Materials science ,"$24,000",1.23,2013-2014,4th,,"$24,000",,,
44,University of Wisconsin - Madison (UW),Geography,"$11,750",0.59,2014-2015,6th and up,,,"$12,600",,$850
45,University of Chicago (UC),Chemistry,"$28,500",1.31,2014-2015,4th,,"$29,500",,,"$1,000"
46,University of Chicago (UC),Chemistry,"$28,000",1.28,2013-2014,3rd,,"$29,000",,,"$1,000"
47,University of Chicago (UC),Chemistry,"$27,500",1.26,2012-2013,2nd,,"$28,500",,,"$1,000"
48,University of Chicago (UC),Chemistry,"$27,000",1.24,2011-2012,1st,"1st year pay is for the job of TAing.  Pay is more than reasonable to live in the Hyde Park area.  <span class=""truncated""> Only people that I know having problems are those that need to live in a 1-bedroom and get the full sports cable package, which includes beer to watch all games.</span>","$28,000",,,"$1,000"
49,University of Wisconsin - Madison (UW),Geography,"$11,800",0.59,2014-2015,4th,"These are rounded numbers. I have a 45% assistantship for the fall and 40% lined up for spring. <span class=""truncated""> Base pay rate is ~$30,100 for 100% time (which no one gets).</span>",,"$12,800",,"$1,000"
50,University of Pennsylvania,MD/PhD (Medical Scientist Training Program),"$29,500",1.41,2014-2015,1st,,"$30,500",,,"$1,000"
51,University of Virginia (UVA),Materials Science and Engineering,"$24,000",1.23,2014-2015,5th,VSGC Fellowship for $5000,"$24,000",,,
52,University of Miami (UM),Meteorology and Physical Oceanography,"$29,879",1.33,2014-2015,3rd,,"$30,000",,,$121
53,Duke University (DU),,"$31,800",1.69,2014-2015,4th,"Won a fellowship, the typical pay is a bit lower than this.","$32,000",,,$200
54,University of Wisconsin - Madison (UW),History,"$10,070",0.51,2014-2015,5th,,,"$10,470",,$400
55,Middle Tennessee State University (MTSU),Public History,"$13,720",0.69,2014-2015,4th,"There is a program fee of roughly $140/class/semester. Since you must be enrolled in at least six <span class=""truncated""> hours to maintain your stipend, and there will be semesters where you need nine hours, the rate runs between about $280 and $420.</span>","$14,000",,,$280
56,University of Wisconsin - Madison (UW),Curriculum and Instruction,"$8,700",0.44,2014-2015,1st,,,"$9,900",,"$1,200"
57,Yale University (YU),Public Health,"$33,899",1.54,2014-2015,4th,"I have an F32 grant from the NRSA and National Cancer Institute. The grant gives me $22,476 a year, <span class=""truncated""> Yale chips in $13,224 (to get my stipend back up to the standard Yale stipend for doctoral students plus a bonus $4,000 for obtaining my own grant). Yale is very generous and guarantees this living stipend for 4 years upon admission to the graduate school.
The $1801 is covered in my grant budget (fees, health insurance) - if I was supposed to include that in the &#34;gross pay&#34;, I apologize for the error!</span>","$35,700",,,"$1,801"
58,University of Wisconsin - Madison (UW),Education,"$12,393",0.62,2014-2015,,,"$12,943",,,$550
59,University of Wisconsin - Madison (UW),education policy studies,$600,0.03,2014-2015,3rd,,"$1,100",,,$500
60,Northwestern University (NU),Civil Engineering,"$28,090",1.29,2014-2015,2nd,,"$28,200",,,$110
61,Virginia Tech,Entomology Dept. /  Molecular Biology-based research,"$20,200",1.10,2012-2013,4th,,"$21,000",,,$800
62,University of California - San Diego (UCSD),psychology,"$21,500",0.91,2014-2015,6th and up,,,"$21,500",,
63,University of Virginia (UVA),Microbiology Immunology and Cancer Biology,"$28,500",1.46,2013-2014,6th and up,,"$28,500",,,
64,University of California - San Francisco (UCSF),Neuroscience,"$32,500",1.22,2014-2015,,,"$32,500",,,
65,University of Virginia (UVA),Materials Science and Engineering,"$24,000",1.23,2014-2015,4th,"There are different levels from when you start off: it&#39;s $21000 in the first year, increases to <span class=""truncated""> $22000 after completing a set of core courses and the final bump in pay to $24000 is after clearing the comprehensive exam (when you are deemed a PhD Candidate).</span>","$24,000",,,
66,University of Pennsylvania,Medical School/Biomedical Graduate Studies,"$25,000",1.19,2010-2011,6th and up,,"$25,000",,,
67,University of Pittsburgh,Mechanical Engineering and Materials Science,"$29,940",1.74,2014-2015,3rd,"The Gross pay is part of a fellowship I am in that pays me a monthly stipend. The Required Fee is a <span class=""truncated""> once per semester graduate student activity fee.</span>","$30,000",,,$60
68,University of Minnesota - Twin Cities (UM),Economics,"$24,800",1.23,2014-2015,5th,RA at federal reserve bank of mpls,"$25,000",,,$200
69,Princeton University,Molecular Biology,"$30,000",1.37,2010-2011,5th,,"$30,000",,,
70,University of Denver (DU),Physics and Astronomy PhD ,"$25,754",1.34,2014-2015,3rd,"a Teaching Assistantship is $20,000 over 9 months, and then most advisors match that pay while you <span class=""truncated""> do research over the summer.  This is my 3rd year, and there has been no increase in pay to accommodate inflation and cost of living increases, which is disappointing.</span>",,"$20,000","$6,000",$246
71,University of Virginia (UVA),Materials Science and Engineering,"$32,000",1.63,2012-2013,5th,NDSEG Fellowship. Health insurance and student activities fee covered by fellowship.,"$32,000",,,
72,Massachusetts Institute of Technology (MIT),Microbiology,"$33,712",1.32,2014-2015,,,"$34,000",,,$288
73,University of Washington (UW),Computer Science &amp; Engineering,"$35,637",1.78,2014-2015,3rd,All pre-tax.,,"$23,319","$13,518","$1,200"
74,University of Delaware (UD),Chemical and Biomolecular Engineering,"$29,000",1.29,2014-2015,2nd,"We also have access to a health insurance plan that costs ~$250 a year, with full dental coverage <span class=""truncated""> as well. </span>","$30,000",,,"$1,000"
75,Princeton University,Sociology,"$28,500",1.30,2013-2014,5th,,"$28,500",,,
76,Massachusetts Institute of Technology (MIT),Physics,"$33,800",1.32,2014-2015,5th,,"$34,000",,,$200
77,Carnegie Mellon University (CMU),Robotics Institute,"$22,950",1.33,2014-2015,1st,,,"$22,950",,
78,University of California - Santa Barbara (UCSB),ece,"$27,000",1.10,2012-2013,5th,,"$27,000",,,
79,Brown University,Social science,"$23,372",1.13,2014-2015,6th and up,"Here&#39;s a recent article on graduate student living situations in a program at the university that <span class=""truncated""> offers financial support similar to mine: http://chronicle.com/article/The-PhD-Students-Ticking/149205/</span>",,"$23,500",,$128
80,University of California - San Diego (UCSD),MAE,"$1,850",0.08,2014-2015,4th,,"$1,850",,,
81,,Electrical and Computer Engineering,"$24,337",,2014-2015,4th,,"$28,000",,,"$3,663"
82,University of Pennsylvania,Graduate School of Education,"$24,000",1.14,2014-2015,4th,,"$24,000",,,
83,University of Pennsylvania,Graduate School of Education,"$26,500",1.26,2014-2015,3rd,,,"$21,000","$5,500",
84,Scripps Research Institute (SRI),Graduate Program (Biology &amp; Chemistry),"$30,000",1.27,2014-2015,5th,,"$30,000",,,
85,University of Pennsylvania,Graduate School of Education - Educational Lingustics,"$21,000",1.00,2014-2015,4th,,"$21,000",,,
86,Duke University (DU),Medical Scientist Training Program (MD/PhD program),"$20,772",1.10,2007-2008,4th,,"$20,772",,,
87,Duke University (DU),Medical Scientist Training Program (MD/PhD program),"$20,772",1.10,2006-2007,3rd,,"$20,772",,,
88,Duke University (DU),Medical Scientist Training Program (MD/PhD program),"$20,772",1.10,2005-2006,2nd,,"$20,772",,,
89,Duke University (DU),Medical Scientist Training Program (MD/PhD program),"$19,041",1.01,2004-2005,1st,,"$19,041",,,
90,University of California - San Francisco (UCSF),Biochemistry/Neuroscience,"$31,375",1.18,2014-2015,5th,,"$31,375",,,
91,Stanford University (SU),Cancer Biology,"$34,168",1.37,2014-2015,2nd,,"$34,168",,,
92,CUNY Graduate School and University Center,,"$25,000",0.94,2014-2015,2nd,,"$25,000",,,
93,University of California - Los Angeles (UCLA),Sociology,"$27,000",1.14,2013-2014,2nd,,,"$21,000","$6,000",
94,University of Pennsylvania,Graduate School of Education,"$27,011",1.29,2014-2015,1st,"This includes a 9-month stipend and a 3-month summer stipend - two separate things. These are paid <span class=""truncated""> to doctoral students who do 20 hours per week of work for their advisors.</span>","$27,011",,,
95,University of Pennsylvania,Graduate School of Education,"$20,810",0.99,2014-2015,4th,"Tied to working 20/week for an adviser as a research assistant. Summer funding available by <span class=""truncated""> application.</span>",,"$20,810",,
96,Clemson University (CU),chemical engineering,"$21,000",1.16,2014-2015,5th,,"$24,000",,,"$3,000"
97,University of Pennsylvania,sociology,"$28,400",1.35,2014-2015,2nd,,,"$24,000","$4,400",
98,Stanford University (SU),Mechanical Engineering,"$28,350",1.13,2009-2010,,,"$30,000",,,"$1,650"
99,University of Pennsylvania,Educational Linguistics,"$28,560",1.36,2014-2015,3rd,Summer funding not guaranteed.,,"$23,800","$4,760",
100,University of Wisconsin - Madison (UW),,"$28,593",1.44,2014-2015,6th and up,,"$29,328",,,$735
101,University of Georgia (UGA),microbiology,"$23,000",1.28,2014-2015,2nd,,"$25,000",,,"$2,000"
102,University of Michigan - Ann Arbor (UM),Mechanical engineering,"$24,000",1.22,2014-2015,,,"$24,000",,,
103,Emory University,GDBBS/BCDB,"$28,250",1.34,2013-2014,6th and up,"Pay can increase $2000/year if you were awarded Division Scholar status at acceptance (for 5 years) <span class=""truncated""> or obtain an external individual fellowship (for duration of fellowship), which can be combined. Pay is the same throughout grad school otherwise.</span>","$28,500",,,$250
104,Pardee RAND Graduate School,Policy Analysis,"$22,225",,2014-2015,1st,,"$22,225",,,
105,University of Washington (UW),Electrical engineering ,"$28,800",1.44,2014-2015,1st,,"$30,000",,,"$1,200"
106,National Institutes of Health (NIH),NINDS,"$21,000",0.76,2007-2008,1st,,"$25,200",,,"$4,200"
107,National Institutes of Health (NIH),NINDS,"$39,600",1.44,2011-2012,5th,Health insurance and metro car were included,"$39,600",,,
108,The Scripps Research Institute,,"$30,000",,2013-2014,5th,,"$30,000",,,
109,University of Georgia (UGA),microbiology,"$23,000",1.28,2014-2015,2nd,,"$25,000",,,"$2,000"
110,University of Georgia (UGA),microbiology,"$23,000",1.28,2014-2015,2nd,,"$25,000",,,"$2,000"
111,University of California - Davis (UCD),Physics,"$20,200",0.93,2014-2015,4th,,,"$17,100","$4,000",$900
112,University of California - Los Angeles (UCLA),Biosciences,"$31,000",1.31,2014-2015,5th,,"$31,000",,,
113,Duke University (DU),Computer Science,"$31,161",1.66,2014-2015,6th and up,PhD in Computer Science,,"$21,573","$9,588",
114,Clemson University (CU),Chemical and Biomolecular Engineering,"$21,500",1.19,2014-2015,,,"$24,500",,,"$3,000"
115,National Institutes of Health (NIH),Biology/Johns Hopkins Partnership Program,"$31,000",1.13,2008-2009,6th and up,Got paid once a month. Had to pay estimated taxes. At least health insurance was included.,"$31,000",,,
116,National Institutes of Health (NIH),Biology/Johns Hopkins Partnership Program,"$29,000",1.06,2007-2008,5th,Got paid once a month. Had to pay estimated taxes. At least health insurance was included.,"$29,000",,,
117,National Institutes of Health (NIH),Biology/Johns Hopkins Partnership Program,"$27,000",0.98,2006-2007,4th,Got paid once a month. Had to pay estimated taxes. At least health insurance was included.,"$27,000",,,
118,National Institutes of Health (NIH),Biology/Johns Hopkins Partnership Program,"$25,000",0.91,2005-2006,3rd,Got paid once a month. Had to pay estimated taxes. At least health insurance was included.,"$25,000",,,
119,National Institutes of Health (NIH),Biology/Johns Hopkins Partnership Program,"$22,000",0.80,2004-2005,2nd,Got paid once a month. Had to pay estimated taxes. At least health insurance was included.,"$22,000",,,
120,National Institutes of Health (NIH),Biology/Johns Hopkins Partnership Program,"$21,000",0.76,2003-2004,1st,Got paid once a month. Had to pay estimated taxes. At least health insurance was included.,"$21,000",,,
121,Clemson University (CU),chemical engineering,"$32,000",1.77,2014-2015,2nd,I am on an NSF fellowship which doesn&#39;t require me to pay any fees.,"$32,000",,,
122,University of Maryland - College Park (UMD),Biological Resources Engineering,"$15,000",0.55,2002-2003,1st,"I was actually a master&#39;s student in this year, but continued on for my PhD.","$15,000",,,
123,Princeton University,Electrical Engineering,"$32,900",1.50,2014-2015,1st,,,"$25,000","$8,000",$100
124,Brown University,Computer Science,"$33,900",1.65,2014-2015,4th,,,"$24,000","$10,000",$100
125,University at Buffalo - SUNY,Transnational Studies,"$12,060",0.65,2014-2015,3rd,,,"$13,060",,"$1,000"
126,Clemson University (CU),Economics,"$19,000",1.05,2013-2014,5th,"Had to pay approximately 1200 in fees every semester and 600 in the summer.  Summer funding was if <span class=""truncated""> you taught a class and if you did not teach you only got 15000 </span>",,"$18,000","$4,000","$3,000"
127,National Institutes of Health (NIH),Biological Resources Engineering,"$40,000",1.46,2006-2007,3rd,"Third year of a PhD program. Paid by NIH as a graduate student working in an intramural lab on <span class=""truncated""> NIH&#39;s campus.</span>","$40,000",,,
128,National Institutes of Health (NIH),Biological Resources Engineering,"$26,000",0.95,2003-2004,2nd,"Second year of a master&#39;s program. Paid by NIH as a graduate student working in an intramural lab <span class=""truncated""> on NIH&#39;s campus.</span>","$26,000",,,
129,Duke University (DU),Cell and Molecular Biology,"$29,500",1.57,2014-2015,1st,,"$29,500",,,
130,University of Edinburgh,Social and Political Science,"$22,400",,2014-2015,3rd,,"$22,400",,,
131,University of California - Los Angeles (UCLA),Genetics,"$28,500",1.21,2012-2013,6th and up,,"$28,500",,,
132,Stanford University (SU),Materials Science and Engineering,"$29,000",1.16,2009-2010,1st,"NDSEG stipend amount at the time, did not matter which school/city/etc. the student lived in.  <span class=""truncated""> Escalated $500/yr for 2nd and 3rd years of NDSEG, but I think 31000 or so was the average amount from 2009-2012 I got.</span>","$31,000",,,"$2,000"
133,Stanford University (SU),Materials Science and Engineering,"$28,000",1.12,2007-2008,1st,"NSF stipend amount at the time, did not matter which school/city/etc. the student lived in.","$30,000",,,"$2,000"
134,Duke University (DU),developmental and stem cell biology,"$29,429",1.57,2014-2015,1st,,"$29,429",,,
135,Georgia Institute of Technology (Georgia Tech),"Algorithms, Combinatorics, &amp; Optimization","$23,000",1.09,2007-2008,1st,,,"$24,000",,"$1,000"
136,Duke University (DU),Developmental and Stem Cell Biology,"$29,420",1.56,2014-2015,1st,,"$29,420",,,
137,Duke University (DU),Computational Biology and Bioinformatics,"$29,420",1.56,2014-2015,1st,,"$29,420",,,
138,Duke University (DU),Computational Biology and Bioinformatics,"$29,420",1.56,2014-2015,1st,$5884 (20%) is deducted for tax. So I get a little over $1900 per month.,"$29,420",,,
139,Duke University (DU),Computational Biology and Bioinformatics,"$27,500",1.46,2011-2012,,,"$27,500",,,
140,University of Maryland - College Park (UMD),Aerospace Engineering,"$27,800",1.01,2014-2015,3rd,"I got a masters degree, but if I continued w the program as PhD, my pay would be the same.   No <span class=""truncated""> raise in three years I was there.</span>","$29,000",,,"$1,200"
141,University of Chicago (UC),Physics,"$30,000",1.38,2010-2011,4th,,"$30,000",,,
142,Duke University (DU),Cell and Molecular Biology,"$29,419",1.56,2014-2015,6th and up,"In my early years, I had an extra $5,000/year from a fellowship. This amount has been very liveable <span class=""truncated""> in Durham.</span>","$29,419",,,
143,Duke University (DU),Biomedical Engineering,"$32,000",1.70,2014-2015,4th,,"$32,000",,,
